WORD,NUMBER
aban,00001
abil,00049
able,00097
abou,00145
abov,00193
abse,00241
abso,00289
abst,00337
absu,00385
abus,00433
acce,00481
acci,00529
acco,00577
accu,00625
achi,00673
acid,00721
acou,00769
acqu,00817
acro,00865
act,00913
acti,00961
acto,01009
actr,01057
actu,01105
adap,01153
add,01201
addi,01249
addr,01297
adju,01345
admi,01393
adul,01441
adva,01489
advi,01537
aero,01585
affa,01633
affo,01681
afra,01729
agai,01777
age,01825
agen,01873
agre,01921
ahea,01969
aim,02017
air,02065
airp,02113
aisl,02161
alar,02209
albu,02257
alco,02305
aler,02353
alie,02401
all,02449
alle,02497
allo,02545
almo,02593
alon,02641
alph,02689
alre,02737
also,02785
alte,02833
alwa,02881
amat,02929
amaz,02977
amon,03025
amou,03073
amus,03121
anal,03169
anch,03217
anci,03265
ange,03313
angl,03361
angr,03409
anim,03457
ankl,03505
anno,03553
annu,03601
anot,03649
answ,03697
ante,03745
anti,03793
anxi,03841
any,03889
apar,03937
apol,03985
appe,04033
appl,04081
appr,04129
apri,04177
arch,04225
arct,04273
area,04321
aren,04369
argu,04417
arm,04465
arme,04513
armo,04561
army,04609
arou,04657
arra,04705
arre,04753
arri,04801
arro,04849
art,04897
arte,04945
arti,04993
artw,05041
ask,05089
aspe,05137
assa,05185
asse,05233
assi,05281
assu,05329
asth,05377
athl,05425
atom,05473
atta,05521
atte,05569
atti,05617
attr,05665
auct,05713
audi,05761
augu,05809
aunt,05857
auth,05905
auto,05953
autu,06001
aver,06049
avoc,06097
avoi,06145
awak,06193
awar,06241
away,06289
awes,06337
awfu,06385
awkw,06433
axis,06481
baby,06529
bach,06577
baco,06625
badg,06673
bag,06721
bala,06769
balc,06817
ball,06865
bamb,06913
bana,06961
bann,07009
bar,07057
bare,07105
barg,07153
barr,07201
base,07249
basi,07297
bask,07345
batt,07393
beac,07441
bean,07489
beau,07537
beca,07585
beco,07633
beef,07681
befo,07729
begi,07777
beha,07825
behi,07873
beli,07921
belo,07969
belt,08017
benc,08065
bene,08113
best,08161
betr,08209
bett,08257
betw,08305
beyo,08353
bicy,08401
bid,08449
bike,08497
bind,08545
biol,08593
bird,08641
birt,08689
bitt,08737
blac,08785
blad,08833
blam,08881
blan,08929
blas,08977
blea,09025
bles,09073
blin,09121
bloo,09169
blos,09217
blou,09265
blue,09313
blur,09361
blus,09409
boar,09457
boat,09505
body,09553
boil,09601
bomb,09649
bone,09697
bonu,09745
book,09793
boos,09841
bord,09889
bori,09937
borr,09985
boss,10033
bott,10081
boun,10129
box,10177
boy,10225
brac,10273
brai,10321
bran,10369
bras,10417
brav,10465
brea,10513
bree,10561
bric,10609
brid,10657
brie,10705
brig,10753
brin,10801
bris,10849
broc,10897
brok,10945
bron,10993
broo,11041
brot,11089
brow,11137
brus,11185
bubb,11233
budd,11281
budg,11329
buff,11377
buil,11425
bulb,11473
bulk,11521
bull,11569
bund,11617
bunk,11665
burd,11713
burg,11761
burs,11809
bus,11857
busi,11905
busy,11953
butt,12001
buye,12049
buzz,12097
cabb,12145
cabi,12193
cabl,12241
cact,12289
cage,12337
cake,12385
call,12433
calm,12481
came,12529
camp,12577
can,12625
cana,12673
canc,12721
cand,12769
cann,12817
cano,12865
canv,12913
cany,12961
capa,13009
capi,13057
capt,13105
car,13153
carb,13201
card,13249
carg,13297
carp,13345
carr,13393
cart,13441
case,13489
cash,13537
casi,13585
cast,13633
casu,13681
cat,13729
cata,13777
catc,13825
cate,13873
catt,13921
caug,13969
caus,14017
caut,14065
cave,14113
ceil,14161
cele,14209
ceme,14257
cens,14305
cent,14353
cere,14401
cert,14449
chai,14497
chal,14545
cham,14593
