WORD,NUMBER
abandon,00001
ability,00049
able,00097
about,00145
above,00193
absent,00241
absorb,00289
abstract,00337
absurd,00385
abuse,00433
access,00481
accident,00529
account,00577
accuse,00625
achieve,00673
acid,00721
acoustic,00769
acquire,00817
across,00865
act,00913
action,00961
actor,01009
actress,01057
actual,01105
adapt,01153
add,01201
addict,01249
address,01297
adjust,01345
admit,01393
adult,01441
advance,01489
advice,01537
aerobic,01585
affair,01633
afford,01681
afraid,01729
again,01777
age,01825
agent,01873
agree,01921
ahead,01969
aim,02017
air,02065
airport,02113
aisle,02161
alarm,02209
album,02257
alcohol,02305
alert,02353
alien,02401
all,02449
alley,02497
allow,02545
almost,02593
alone,02641
alpha,02689
already,02737
also,02785
alter,02833
always,02881
amateur,02929
amazing,02977
among,03025
amount,03073
amused,03121
analyst,03169
anchor,03217
ancient,03265
anger,03313
angle,03361
angry,03409
animal,03457
ankle,03505
announce,03553
annual,03601
another,03649
answer,03697
antenna,03745
antique,03793
anxiety,03841
any,03889
apart,03937
apology,03985
appear,04033
apple,04081
approve,04129
april,04177
arch,04225
arctic,04273
area,04321
arena,04369
argue,04417
arm,04465
armed,04513
armor,04561
army,04609
around,04657
arrange,04705
arrest,04753
arrive,04801
arrow,04849
art,04897
artefact,04945
artist,04993
artwork,05041
ask,05089
aspect,05137
assault,05185
asset,05233
assist,05281
assume,05329
asthma,05377
athlete,05425
atom,05473
attack,05521
attend,05569
attitude,05617
attract,05665
auction,05713
audit,05761
august,05809
aunt,05857
author,05905
auto,05953
autumn,06001
average,06049
avocado,06097
avoid,06145
awake,06193
aware,06241
away,06289
awesome,06337
awful,06385
awkward,06433
axis,06481
baby,06529
bachelor,06577
bacon,06625
badge,06673
bag,06721
balance,06769
balcony,06817
ball,06865
bamboo,06913
banana,06961
banner,07009
bar,07057
barely,07105
bargain,07153
barrel,07201
base,07249
basic,07297
basket,07345
battle,07393
beach,07441
bean,07489
beauty,07537
because,07585
become,07633
beef,07681
before,07729
begin,07777
behave,07825
behind,07873
believe,07921
below,07969
belt,08017
bench,08065
benefit,08113
best,08161
betray,08209
better,08257
between,08305
beyond,08353
bicycle,08401
bid,08449
bike,08497
bind,08545
biology,08593
bird,08641
birth,08689
bitter,08737
black,08785
blade,08833
blame,08881
blanket,08929
blast,08977
bleak,09025
bless,09073
blind,09121
blood,09169
blossom,09217
blouse,09265
blue,09313
blur,09361
blush,09409
board,09457
boat,09505
body,09553
boil,09601
bomb,09649
bone,09697
bonus,09745
book,09793
boost,09841
border,09889
boring,09937
borrow,09985
boss,10033
bottom,10081
bounce,10129
box,10177
boy,10225
bracket,10273
brain,10321
brand,10369
brass,10417
brave,10465
bread,10513
breeze,10561
brick,10609
bridge,10657
brief,10705
bright,10753
bring,10801
brisk,10849
broccoli,10897
broken,10945
bronze,10993
broom,11041
brother,11089
brown,11137
brush,11185
bubble,11233
buddy,11281
budget,11329
buffalo,11377
build,11425
bulb,11473
bulk,11521
bullet,11569
bundle,11617
bunker,11665
burden,11713
burger,11761
burst,11809
bus,11857
business,11905
busy,11953
butter,12001
buyer,12049
buzz,12097
cabbage,12145
cabin,12193
cable,12241
cactus,12289
cage,12337
cake,12385
call,12433
calm,12481
camera,12529
camp,12577
can,12625
canal,12673
cancel,12721
candy,12769
cannon,12817
canoe,12865
canvas,12913
